"","country","year","iso_code","population","gdp","biofuel_cons_change_pct","biofuel_cons_change_twh","biofuel_cons_per_capita","biofuel_consumption","biofuel_elec_per_capita","biofuel_electricity","biofuel_share_elec","biofuel_share_energy","carbon_intensity_elec","coal_cons_change_pct","coal_cons_change_twh","coal_cons_per_capita","coal_consumption","coal_elec_per_capita","coal_electricity","coal_prod_change_pct","coal_prod_change_twh","coal_prod_per_capita","coal_production","coal_share_elec","coal_share_energy","electricity_demand","electricity_demand_per_capita","electricity_generation","electricity_share_energy","energy_cons_change_pct","energy_cons_change_twh","energy_per_capita","energy_per_gdp","fossil_cons_change_pct","fossil_cons_change_twh","fossil_elec_per_capita","fossil_electricity","fossil_energy_per_capita","fossil_fuel_consumption","fossil_share_elec","fossil_share_energy","gas_cons_change_pct","gas_cons_change_twh","gas_consumption","gas_elec_per_capita","gas_electricity","gas_energy_per_capita","gas_prod_change_pct","gas_prod_change_twh","gas_prod_per_capita","gas_production","gas_share_elec","gas_share_energy","greenhouse_gas_emissions","hydro_cons_change_pct","hydro_cons_change_twh","hydro_consumption","hydro_elec_per_capita","hydro_electricity","hydro_energy_per_capita","hydro_share_elec","hydro_share_energy","low_carbon_cons_change_pct","low_carbon_cons_change_twh","low_carbon_consumption","low_carbon_elec_per_capita","low_carbon_electricity","low_carbon_energy_per_capita","low_carbon_share_elec","low_carbon_share_energy","net_elec_imports","net_elec_imports_share_demand","nuclear_cons_change_pct","nuclear_cons_change_twh","nuclear_consumption","nuclear_elec_per_capita","nuclear_electricity","nuclear_energy_per_capita","nuclear_share_elec","nuclear_share_energy","oil_cons_change_pct","oil_cons_change_twh","oil_consumption","oil_elec_per_capita","oil_electricity","oil_energy_per_capita","oil_prod_change_pct","oil_prod_change_twh","oil_prod_per_capita","oil_production","oil_share_elec","oil_share_energy","other_renewable_consumption","other_renewable_electricity","other_renewable_exc_biofuel_electricity","other_renewables_cons_change_pct","other_renewables_cons_change_twh","other_renewables_elec_per_capita","other_renewables_elec_per_capita_exc_biofuel","other_renewables_energy_per_capita","other_renewables_share_elec","other_renewables_share_elec_exc_biofuel","other_renewables_share_energy","per_capita_electricity","primary_energy_consumption","renewables_cons_change_pct","renewables_cons_change_twh","renewables_consumption","renewables_elec_per_capita","renewables_electricity","renewables_energy_per_capita","renewables_share_elec","renewables_share_energy","solar_cons_change_pct","solar_cons_change_twh","solar_consumption","solar_elec_per_capita","solar_electricity","solar_energy_per_capita","solar_share_elec","solar_share_energy","wind_cons_change_pct","wind_cons_change_twh","wind_consumption","wind_elec_per_capita","wind_electricity","wind_energy_per_capita","wind_share_elec","wind_share_energy","country_standard","country_standard_2023"
"1","ASEAN (Ember)",2000,"",NA,NA,NA,NA,NA,NA,NA,5.87,1.55,NA,572.859,NA,NA,NA,NA,NA,76.03,NA,NA,NA,NA,20.081,NA,378.61,NA,378.61,NA,NA,NA,NA,NA,NA,NA,NA,305.36,NA,NA,80.653,NA,NA,NA,NA,NA,164.26,NA,NA,NA,NA,NA,43.385,NA,216.89,NA,NA,NA,NA,50.45,NA,13.325,NA,NA,NA,NA,NA,73.25,NA,19.347,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,65.07,NA,NA,NA,NA,NA,17.187,NA,NA,22.8,16.93,NA,NA,NA,NA,NA,6.022,4.472,NA,NA,NA,NA,NA,NA,NA,73.25,NA,19.347,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
"2","ASEAN (Ember)",2001,"",NA,NA,NA,NA,NA,NA,NA,6.46,1.596,NA,570.606,NA,NA,NA,NA,NA,86.26,NA,NA,NA,NA,21.307,NA,404.85,NA,404.85,NA,NA,NA,NA,NA,NA,NA,NA,327.66,NA,NA,80.934,NA,NA,NA,NA,NA,190.41,NA,NA,NA,NA,NA,47.032,NA,231.01,NA,NA,NA,NA,54.33,NA,13.42,NA,NA,NA,NA,NA,77.19,NA,19.066,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,50.99,NA,NA,NA,NA,NA,12.595,NA,NA,22.86,16.4,NA,NA,NA,NA,NA,5.647,4.051,NA,NA,NA,NA,NA,NA,NA,77.19,NA,19.066,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
"3","ASEAN (Ember)",2002,"",NA,NA,NA,NA,NA,NA,NA,6.62,1.528,NA,573.028,NA,NA,NA,NA,NA,93.43,NA,NA,NA,NA,21.568,NA,433.19,NA,433.19,NA,NA,NA,NA,NA,NA,NA,NA,356.67,NA,NA,82.336,NA,NA,NA,NA,NA,208.92,NA,NA,NA,NA,NA,48.228,NA,248.23,NA,NA,NA,NA,53.29,NA,12.302,NA,NA,NA,NA,NA,76.52,NA,17.664,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,54.32,NA,NA,NA,NA,NA,12.54,NA,NA,23.23,16.61,NA,NA,NA,NA,NA,5.363,3.834,NA,NA,NA,NA,NA,NA,NA,76.52,NA,17.664,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
"4","ASEAN (Ember)",2003,"",NA,NA,NA,NA,NA,NA,NA,7.45,1.626,NA,577.339,NA,NA,NA,NA,NA,102.01,NA,NA,NA,NA,22.261,NA,458.24,NA,458.24,NA,NA,NA,NA,NA,NA,NA,NA,381.84,NA,NA,83.328,NA,NA,NA,NA,NA,226.51,NA,NA,NA,NA,NA,49.43,NA,264.56,NA,NA,NA,NA,53.21,NA,11.612,NA,NA,NA,NA,NA,76.4,NA,16.672,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,53.32,NA,NA,NA,NA,NA,11.636,NA,NA,23.19,15.74,NA,NA,NA,NA,NA,5.061,3.435,NA,NA,NA,NA,NA,NA,NA,76.4,NA,16.672,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
"5","ASEAN (Ember)",2004,"",NA,NA,NA,NA,NA,NA,NA,8.4,1.692,NA,583.917,NA,NA,NA,NA,NA,115.01,NA,NA,NA,NA,23.161,NA,496.56,NA,496.56,NA,NA,NA,NA,NA,NA,NA,NA,418.6,NA,NA,84.3,NA,NA,NA,NA,NA,244.16,NA,NA,NA,NA,NA,49.17,NA,289.95,NA,NA,NA,NA,52.99,NA,10.671,NA,NA,NA,NA,NA,77.96,NA,15.7,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,59.43,NA,NA,NA,NA,NA,11.968,NA,NA,24.97,16.57,NA,NA,NA,NA,NA,5.029,3.337,NA,NA,NA,NA,NA,NA,NA,77.96,NA,15.7,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
"6","ASEAN (Ember)",2005,"",NA,NA,NA,NA,NA,NA,NA,8.8,1.684,NA,585.559,NA,NA,NA,NA,NA,124.53,NA,NA,NA,NA,23.825,NA,522.68,NA,522.68,NA,NA,NA,NA,NA,NA,NA,NA,443.48,NA,NA,84.847,NA,NA,NA,NA,NA,253.3,NA,NA,NA,NA,NA,48.462,NA,306.06,NA,NA,NA,NA,53.88,NA,10.308,NA,NA,NA,NA,NA,79.2,NA,15.153,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,65.65,NA,NA,NA,NA,NA,12.56,NA,NA,25.3,16.5,NA,NA,NA,NA,NA,4.84,3.157,NA,NA,NA,NA,NA,NA,NA,79.2,NA,15.153,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.02,NA,0.004,NA,NA,NA
"7","ASEAN (Ember)",2006,"",NA,NA,NA,NA,NA,NA,NA,8.53,1.559,NA,584.788,NA,NA,NA,NA,NA,138.08,NA,NA,NA,NA,25.234,NA,547.19,NA,547.19,NA,NA,NA,NA,NA,NA,NA,NA,460.92,NA,NA,84.234,NA,NA,NA,NA,NA,262.67,NA,NA,NA,NA,NA,48.003,NA,319.99,NA,NA,NA,NA,60.52,NA,11.06,NA,NA,NA,NA,NA,86.27,NA,15.766,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,60.17,NA,NA,NA,NA,NA,10.996,NA,NA,25.66,17.13,NA,NA,NA,NA,NA,4.689,3.131,NA,NA,NA,NA,NA,NA,NA,86.27,NA,15.766,NA,NA,NA,NA,NA,0.04,NA,0.007,NA,NA,NA,NA,NA,0.05,NA,0.009,NA,NA,NA
"8","ASEAN (Ember)",2007,"",NA,NA,NA,NA,NA,NA,NA,10.25,1.77,NA,588.491,NA,NA,NA,NA,NA,155.7,NA,NA,NA,NA,26.889,NA,579.04,NA,579.04,NA,NA,NA,NA,NA,NA,NA,NA,488.2,NA,NA,84.312,NA,NA,NA,NA,NA,274.02,NA,NA,NA,NA,NA,47.323,NA,340.76,NA,NA,NA,NA,63.25,NA,10.923,NA,NA,NA,NA,NA,90.84,NA,15.688,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,58.48,NA,NA,NA,NA,NA,10.099,NA,NA,27.49,17.24,NA,NA,NA,NA,NA,4.748,2.977,NA,NA,NA,NA,NA,NA,NA,90.84,NA,15.688,NA,NA,NA,NA,NA,0.04,NA,0.007,NA,NA,NA,NA,NA,0.06,NA,0.01,NA,NA,NA
"9","ASEAN (Ember)",2008,"",NA,NA,NA,NA,NA,NA,NA,10.55,1.747,NA,578.753,NA,NA,NA,NA,NA,152.01,NA,NA,NA,NA,25.173,NA,603.85,NA,603.85,NA,NA,NA,NA,NA,NA,NA,NA,504.23,NA,NA,83.503,NA,NA,NA,NA,NA,293.09,NA,NA,NA,NA,NA,48.537,NA,349.48,NA,NA,NA,NA,69.94,NA,11.582,NA,NA,NA,NA,NA,99.62,NA,16.497,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,59.13,NA,NA,NA,NA,NA,9.792,NA,NA,29.58,19.03,NA,NA,NA,NA,NA,4.899,3.151,NA,NA,NA,NA,NA,NA,NA,99.62,NA,16.497,NA,NA,NA,NA,NA,0.04,NA,0.007,NA,NA,NA,NA,NA,0.06,NA,0.01,NA,NA,NA
"10","ASEAN (Ember)",2009,"",NA,NA,NA,NA,NA,NA,NA,10.88,1.742,NA,579.845,NA,NA,NA,NA,NA,162.79,NA,NA,NA,NA,26.069,NA,624.46,NA,624.46,NA,NA,NA,NA,NA,NA,NA,NA,520.17,NA,NA,83.299,NA,NA,NA,NA,NA,308.82,NA,NA,NA,NA,NA,49.454,NA,362.09,NA,NA,NA,NA,73.68,NA,11.799,NA,NA,NA,NA,NA,104.29,NA,16.701,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,48.56,NA,NA,NA,NA,NA,7.776,NA,NA,30.5,19.62,NA,NA,NA,NA,NA,4.884,3.142,NA,NA,NA,NA,NA,NA,NA,104.29,NA,16.701,NA,NA,NA,NA,NA,0.04,NA,0.006,NA,NA,NA,NA,NA,0.07,NA,0.011,NA,NA,NA
